id,title,authorName,resume,isbn,book_cover,sharable
1001,The Hunger Games,Suzanne Collins,WINNING MEANS FAME AND FORTUNE.,9.78E+12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975l/2767052.jpg,true
1002,Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPrÃ© (Illustrator)",There is a door at the end of a silent corridor.,9.78E+12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546910265l/2.jpg,true
1003,To Kill a Mockingbird,Harper Lee,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960.",1.00E+13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553383690l/2657.jpg,true
1004,Pride and Prejudice,"Jane Austen, Anna Quindlen (Introduction)","Alternate cover edition of ISBN 9780679783268Since its immediate success in 1813, Pride and Prejudice has remained one of the most popular novels in the English language.",1.00E+13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351l/1885.jpg,true
1005,Twilight,Stephenie Meyer,About three things I was absolutely positive.,9.78E+12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361039443l/41865.jpg,true
1006,The Book Thief,Markus Zusak (Goodreads Author),Librarian's note: An alternate cover edition can be found hereIt is 1939.,9.78E+12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522157426l/19063._SY475_.jpg,true
1007,Animal Farm,"George Orwell, Russell Baker (Preface), C.M. Woodhouse (Introduction)",Librarian's note: There is an Alternate Cover Edition for this edition of this book here.,9.78E+12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325861570l/170448.jpg,true
1008,The Chronicles of Narnia,"C.S. Lewis, Pauline Baynes (Illustrator)","Journeys to the end of the world, fantastic creatures, and epic battles between good and evilâ€”what more could any reader ask for in one book? The book that has it all is The Lion, the Witch and the Wardrobe, written in 1949 by Clive Staples Lewis.",1.00E+13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1449868701l/11127._SY475_.jpg,true
1009,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,"This four-volume, boxed set contains J.",9.78E+12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346072396l/30.jpg,true
1010,Gone with the Wind,Margaret Mitchell,"Scarlett O'Hara, the beautiful, spoiled daughter of a well-to-do Georgia plantation owner, must use every means at her disposal to claw her way out of the poverty she finds herself in after Sherman's March to the Sea.",9.78E+12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551144577l/18405._SY475_.jpg,true
1011,The Fault in Our Stars,John Green (Goodreads Author),"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis.",1.00E+13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360206420l/11870085.jpg,true
1012,The Hitchhiker's Guide to the Galaxy,Douglas Adams,"Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of The Hitchhiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out-of-work actor.",1.00E+13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559986152l/386162.jpg,true
1013,The Giving Tree,Shel Silverstein,"""Once there was a tree.",9.78E+12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174210942l/370493._SX318_.jpg,true
1014,Wuthering Heights,"Emily BrontÃ«, Richard J. Dunn (Editor), David Timson (Narrator), Charlotte BrontÃ« (Commentary), Robert Heindel (Illustrator)",You can find the redesigned cover of this edition HERE.,9.78E+12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587655304l/6185._SY475_.jpg,true
1015,The Da Vinci Code,Dan Brown (Goodreads Author),ISBN 9780307277671 moved to this edition.,1.00E+13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579621267l/968.jpg,true
1016,Memoirs of a Geisha,Arthur Golden,"A literary sensation and runaway bestseller, this brilliant debut novel presents with seamless authenticity and exquisite lyricism the true confessions of one of Japan's most celebrated geisha.",9.78E+12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409595968l/929.jpg,true
1017,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides (Introduction)","Written in his distinctively dazzling manner, Oscar Wildeâ€™s story of a fashionable young man who sells his soul for eternal youth and beauty is the authorâ€™s most popular work.",1.00E+13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546103428l/5297.jpg,true
1018,Alice's Adventures in Wonderland & Through the Looking-Glass,"Lewis Carroll, John Tenniel (Illustrator), Martin Gardner (Introduction)","""I can't explain myself, I'm afraid, sir,"" said Alice, ""Because I'm not myself, you see.",9.78E+12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327872220l/24213.jpg,true
1019,Jane Eyre,"Charlotte BrontÃ«, Michael Mason (Editor), Barnett Freedman (Illustrator)","Orphaned as a child, Jane has felt an outcast her whole young life.",9.78E+12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557343311l/10210._SY475_.jpg,true
1020,Les MisÃ©rables,"Victor Hugo, Lee Fahnestock (Translator), Norman MacAfee (Translator)","Introducing one of the most famous characters in literature, Jean Valjeanâ€”the noble peasant imprisoned for stealing a loaf of breadâ€”Les MisÃ©rables ranks among the greatest novels of all time.",1.00E+13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411852091l/24280.jpg,true
1021,Fahrenheit 451,Ray Bradbury,Guy Montag is a fireman.,B0064CPN7I,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383718290l/13079982.jpg,true
1022,Divergent,Veronica Roth (Goodreads Author),"In Beatrice Prior's dystopian Chicago world, society is divided into five factions, each dedicated to the cultivation of a particular virtueâ€”Candor (the honest), Abnegation (the selfless), Dauntless (the brave), Amity (the peaceful), and Erudite (the intelligent).",9.78E+12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1588455221l/13335037._SY475_.jpg,true
1023,Lord of the Flies,William Golding,"At the dawn of the next world war, a plane crashes on an uncharted island, stranding a group of schoolboys.",9.78E+12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327869409l/7624.jpg,true
1024,Romeo and Juliet,"William Shakespeare, Paul Werstine (Editor), Barbara A. Mowat (Editor), Paavo Emil Cajander (Translator)","In Romeo and Juliet, Shakespeare creates a violent world, in which two young people fall in love.",9.78E+12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572098085l/18135._SY475_.jpg,true
1025,The Alchemist,"Paulo Coelho (Goodreads Author), Alan R. Clarke (Translator), James Noel Smith (Illustrator)",Paulo Coelho's enchanting novel has inspired a devoted following around the world.,9.78E+12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466865542l/18144590._SY475_.jpg,true
1026,Crime and Punishment,"Fyodor Dostoyevsky, David McDuff (Translator)","Raskolnikov, a destitute and desperate former student, wanders through the slums of St Petersburg and commits a random murder without remorse or regret.",9.78E+12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382846449l/7144.jpg,true
1027,The Perks of Being a Wallflower,Stephen Chbosky,standing on the fringes of life.,1.00E+13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520093244l/22628.jpg,true
1028,The Great Gatsby,"F. Scott Fitzgerald, Francis Scott Fitzgerald","Alternate Cover Edition ISBN: 0743273567 (ISBN13: 9780743273565)The Great Gatsby, F.",1.00E+13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1490528560l/4671._SY475_.jpg,true
1029,City of Bones,Cassandra Clare (Goodreads Author),"When fifteen-year-old Clary Fray heads out to the Pandemonium Club in New York City, she hardly expects to witness a murderâ€• much less a murder committed by three teenagers covered with strange tattoos and brandishing bizarre weapons.",9.78E+12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432730315l/256683._SY475_.jpg,true
1030,Ender's Game,"Orson Scott Card, Stefan Rudnicki (Narrator), Harlan Ellison (Narrator)","Andrew ""Ender"" Wiggin thinks he is playing computer simulated war games; he is, in fact, engaged in something far more desperate.",9.78E+12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408303130l/375802.jpg,true
1031,The Help,Kathryn Stockett (Goodreads Author),Librarian's note: An alternate cover edition can be found hereThree ordinary women are about to take one extraordinary step.,1.00E+13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572940430l/4667024._SY475_.jpg,true
1032,Anne of Green Gables,L.M. Montgomery,"As soon as Anne Shirley arrives at the snug white farmhouse called Green Gables, she is sure she wants to stay forever.",9.78E+12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390789015l/8127.jpg,true
1033,Harry Potter and the Sorcerer's Stone,"J.K. Rowling, Mary GrandPrÃ© (Illustrator)",Harry Potter's life is miserable.,1.00E+13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474154022l/3._SY475_.jpg,true
1034,The Little Prince,"Antoine de Saint-ExupÃ©ry, Richard Howard (Translator), Ivan Minatti (Translator), Nguyá»…n ThÃ nh VÅ© (Illustrator)",A PBS Great American Read Top 100 PickFew stories are as widely read and as universally cherished by children and adults alike as The Little Prince.,1.00E+13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367545443l/157993.jpg,true
1035,Charlotte's Web,"E.B. White, Garth Williams (Illustrator), Rosemary Wells (Illustrations)",This beloved book by E.,9.78E+12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439632243l/24178._SY475_.jpg,true
1036,Of Mice and Men,John Steinbeck,The compelling story of two outsiders striving to find their place in an unforgiving world.,9.78E+12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511302904l/890._SX318_.jpg,true
1037,The Time Traveler's Wife,Audrey Niffenegger (Goodreads Author),"A funny, often poignant tale of boy meets girl with a twist: what if one of them couldn't stop slipping in and out of time? Highly original and imaginative, this debut novel raises questions about life, love, and the effects of time on relationships.",9.78E+12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380660571l/18619684.jpg,true
1038,Dracula,"Bram Stoker, Nina Auerbach (Editor), David J. Skal (Editor)",You can find an alternative cover edition for this ISBN here and here.,9.78E+12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387151694l/17245.jpg,true
1039,Brave New World,Aldous Huxley,"Brave New World is a dystopian novel by English author Aldous Huxley, written in 1931 and published in 1932.",9.78E+12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575509280l/5129._SY475_.jpg,true
